radius area area area 
 216.492 2443 4128 1258 
 221.494 2358 4441 1285 
 220.995 2316 4339 1164 
 218.997 2333 3980 752 
 219.995 1963 4201 690 
 219.494 112 3997 951 
 220.497 1998 4013 662 
 218.497 2485 4223 1169 
 220.497 164 4156 1654 
 216.492 2321 4137 1156 
 218.497 2234 4184 2022 
 217.997 2333 4254 1063 
 216.99 226 4013 760 
 217.499 2215 4124 871 
 1582 3898 357 
 216.492 2184 3858 1102 
 215.49 2274 4338 1425 
 218.497 2842 4229 
 219.494 2527 4276 2166 
 217.499 2550 4325 2002 
 220.497 117 4591 1733 
 222.492 2749 4463 2423 
 218.497 2807 4394 2344 
 220.497 2496 4149 2094 
 221.988 2429 4408 1270 
 218.497 161 4519 2207 
 215.974 122 4530 2235 
 217.997 2370 4277 2157 
 219.995 118 4283 2154 
 215.974 200 4640 2154 
 218.497 124 4345 2204 
 217.997 112 4474 2292 
 218.497 126 4508 2420 
 219.494 1962 4563 2447 
 215.974 2348 4596 2396 
 216.492 2199 4514 2298 
 219.995 2004 4306 2253 
 219.494 2207 4220 1792 
 215.974 2177 4290 2176 
 217.997 2349 4374 1712 
 220.497 2152 4423 2253 
 219.494 2506 4717 2507 
 219.494 165 4653 2553 
 220.497 151 4617 2641 
 217.997 2475 4542 2596 
 217.499 121 4562 2618 
 216.99 117 4885 2740 
 219.494 130 2823 
 423.995 145 4707 2862 
 218.997 126 4712 2828 
 222.492 181 4761 2837 
 221.494 179 4710 2717 
 217.997 186 4785 2823 
 218.997 4800 1975 
 218.997 380 4865 2880 
 218.997 174 4746 2908 
 217.997 1973 4921 2895 
 219.995 111 4865 2657 
 223.485 156 4630 2633 
 221.988 128 4584 2521 
 217.997 201 4490 2464 
 225.999 2448 4606 2388 
 219.494 8531 5329 2941 
 224.975 2294 5504 3255 
 221.988 2021 5487 3420 
 224.488 2125 5591 3469 
 219.494 123 5668 3525 
 218.497 120 5656 3488 
 215.974 114 5558 3505 
 220.497 2440 5494 3536 
 217.997 1097 5640 3584 
 216.99 126 5892 3595 
 217.499 2132 5875 3913 
 218.997 2296 5765 3782 
 217.997 128 5785 3756 
 219.494 2116 5832 3788 
 219.494 1981 5992 3887 
 219.494 2241 5935 3981 
 224.975 2131 5872 3947 
 216.99 2311 5995 3818 
 218.997 2309 5890 3858 
 219.494 2272 5919 3807 
 215.974 126 5869 3819 
 218.497 114 5787 3856 
 216.99 17696 5887 3854 
 218.997 1904 6059 3807 
 218.497 2031 6127 3998 
 219.995 2285 6064 4056 
 219.995 1044 6005 4018 
 217.997 2381 5989 3878 
 218.497 2217 5790 3880 
 219.995 2249 5823 3719 
 221.988 2406 5702 3782 
 221.494 2162 5996 3716 
 218.997 111 5964 3779 
 219.995 1843 6260 3961 
 221.494 117 6416 4093 
 219.995 1895 6292 4397 
 219.995 2197 6039 4268 
 222.492 2457 5899 4009 
 218.497 2232 5674 3745 
 217.499 1801 5344 3503 
 216.99 2244 5304 3353 
 218.497 147 5121 3121 
 218.497 1997 4975 3037 
 219.995 132 5126 2988 
 218.997 2064 4869 2895 
 2171 4819 2754 
 221.988 176 4803 2775 
 219.494 125 4999 2665 
 217.499 2333 4979 2702 
 217.997 2601 4956 2647 
 217.997 2672 4879 2591 
 216.492 2858 4947 2658 
 218.997 2606 4764 2427 
 217.997 2805 4750 2465 
 219.494 158 4837 2374 
 220.497 2428 4756 2418 
 216.99 2666 4616 2196 
 218.497 2740 4440 2164 
 218.497 2667 4529 2058 
 218.497 116 4545 2060 
 220.497 2961 4560 2011 
 219.494 119 4512 2004 
 216.99 2758 4520 841 
 218.497 3080 4460 1788 
 218.497 122 4697 1104 
 217.997 360 4686 2086 
 220.995 2796 4605 2085 
 217.499 2687 4507 1960 
 218.997 137 4540 1034 
 216.99 305 4437 759 
 218.497 2609 4495 1249 
 217.499 2610 4654 1347 
 221.988 118 4547 684 
 216.99 190 4267 819 
 217.499 2663 4194 710 
 219.494 2157 4147 624 
 219.995 2380 4073 1025 
 219.494 2468 4211 733 
 217.499 2407 4062 566 
 219.995 2272 4370 969 
 218.997 2376 4467 689 
 218.997 245 4260 745 
 218.497 2218 4398 1725 
 218.497 2570 4266 963 
 224.488 2300 4396 1230 
 219.995 2375 4500 980 
 217.997 279 4310 2041 
 216.492 2401 4125 1246 
 221.494 2299 4418 1272 
 220.995 2217 4369 1164 
 218.997 2254 3974 756 
 219.995 1864 4192 689 
 219.494 118 4011 940 
 220.497 1973 4002 671 
 217.997 2370 4252 1161 
 220.497 163 4144 1661 
 216.99 2231 4114 1396 
 218.497 2097 4176 2030 
 217.997 2233 4240 1060 
 216.99 229 4000 774 
 217.499 2095 4109 860 
