radius area area area 
 218.497 133 4844 2992 
 219.995 128 5028 3050 
 435.499 2450 4788 2932 
 219.494 143 4855 2978 
 221.494 2179 4852 2917 
 217.997 185 4859 2925 
 219.995 317 4888 1976 
 219.995 348 4985 2982 
 128 4915 2975 
 238.981 129 4793 2969 
 220.995 1916 4968 2901 
 218.497 114 4892 2706 
 220.995 164 4572 2609 
 220.497 200 4586 2564 
 217.499 196 4565 2472 
 220.995 174 4759 2582 
 229.991 1879 5403 3133 
 219.995 2089 5532 3396 
 217.997 2176 5650 3471 
 221.988 2184 5646 3564 
 220.497 123 5715 3524 
 219.494 2037 5619 3470 
 217.499 1956 5618 3599 
 218.997 118 5634 3567 
 221.494 1646 5673 3706 
 224.488 129 5892 3762 
 218.497 2367 5851 3902 
 219.494 158 5771 3831 
 219.995 2070 5857 3881 
 219.995 2196 6039 4002 
 218.997 2096 6115 4041 
 219.494 1953 5962 4024 
 220.995 134 5933 3919 
 219.995 2457 6027 3862 
 240.493 2220 5995 3867 
 219.995 2258 6009 3884 
 229.486 2225 5984 3881 
 218.997 119 5911 3861 
 220.995 2371 5813 3841 
 229.486 2204 5930 3900 
 220.995 2120 6173 3933 
 220.995 129 6112 4061 
 218.497 2383 6145 4110 
 220.497 2303 6070 4021 
 218.497 2435 6003 3902 
 216.99 2192 6051 3792 
 220.497 2268 5808 3785 
 219.494 2298 5973 3783 
 219.995 2155 5763 3791 
 226.497 2275 5946 3880 
 219.995 118 6262 4184 
 220.995 244 6600 4427 
 225.494 2229 6438 4736 
 219.494 2242 6381 4504 
 218.497 2464 5957 4149 
 222.492 2364 5586 3891 
 224.488 2039 5555 3555 
 219.494 2076 5471 3398 
 220.497 142 5367 3175 
 218.497 2264 5391 3154 
 219.995 122 5140 3120 
 219.494 2109 5004 2864 
 222.997 164 5065 2848 
 220.995 171 5153 2862 
 218.497 114 5055 2793 
 221.988 2233 5029 2747 
 220.497 2399 4937 2638 
 219.494 2634 4895 2660 
 216.492 2575 4927 2544 
 220.497 2462 4793 2445 
 217.997 2530 4821 2550 
 219.995 2011 4842 2423 
 219.995 2333 4778 2329 
 217.997 2709 4662 2242 
 221.494 2505 4473 2260 
 221.494 2482 4584 1260 
 218.997 2809 4679 2065 
 218.497 125 4626 2057 
 219.494 2714 4576 727 
 222.492 2700 4545 1391 
 245.499 2853 4574 2024 
 218.997 363 4731 1629 
 295.499 2716 4660 2169 
 221.494 2830 4554 2108 
 248.985 2656 4279 1020 
 219.494 141 4486 432 
 220.497 290 4582 1108 
 223.485 3000 4808 2106 
 217.499 114 4746 1099 
 227.995 205 4529 934 
 226.997 2541 4273 591 
 220.497 2695 4449 618 
 219.995 2085 4325 934 
 220.497 2388 4392 551 
 217.997 2620 4456 1004 
 220.497 2584 4493 911 
 220.497 2509 4507 569 
 219.995 335 4336 1053 
 217.997 167 4411 1182 
 222.492 2575 4541 2174 
 218.997 2687 4337 1038 
 219.995 2481 4695 953 
 219.995 294 4567 2257 
 219.494 139 4487 2214 
 228.993 2385 4571 1154 
 217.499 2411 4505 1247 
 221.494 2362 4287 625 
 228.475 2227 4265 1009 
 220.995 2141 4243 985 
 218.497 2105 4371 1189 
 220.995 115 4171 921 
 218.497 2417 4577 1515 
 219.995 1810 4484 2323 
 219.494 2062 4439 2267 
 217.997 2243 4297 2234 
 262.998 114 4314 769 
 217.499 222 4171 781 
 216.99 2030 4036 450 
 221.494 1947 4037 1085 
 217.499 2065 4375 1550 
 216.492 2012 4336 1322 
 218.997 2681 4684 2330 
 219.494 2608 4383 2388 
 218.497 2736 4456 906 
 226.997 2597 4358 1942 
 217.997 121 4308 1365 
 218.497 137 4623 1543 
 218.497 2829 4665 2422 
 222.997 2799 4528 2570 
 218.497 2629 4284 2362 
 217.499 2168 4238 2178 
 220.497 2452 4387 2237 
 220.995 181 4709 2192 
 220.497 2386 4417 2344 
 217.499 132 4375 2188 
 217.997 2283 4536 2180 
 220.497 206 4593 2215 
 217.997 127 4358 2237 
